"","area_name","date","week","signal"
"558","East of England","2022-01-31",36,NA
"559","East of England","2022-02-01",36,NA
"560","East of England","2022-02-02",36,12877
"561","East of England","2022-02-03",37,NA
"562","East of England","2022-02-04",37,NA
"563","East of England","2022-02-05",37,NA
"564","East of England","2022-02-06",37,NA
"565","East of England","2022-02-07",37,NA
"566","East of England","2022-02-08",37,NA
"567","East of England","2022-02-09",37,14645
"568","East of England","2022-02-10",38,NA
"569","East of England","2022-02-11",38,NA
"570","East of England","2022-02-12",38,NA
"571","East of England","2022-02-13",38,NA
"572","East of England","2022-02-14",38,NA
"573","East of England","2022-02-15",38,NA
"574","East of England","2022-02-16",38,16474
"575","East of England","2022-02-17",39,NA
"576","East of England","2022-02-18",39,NA
"577","East of England","2022-02-19",39,NA
"578","East of England","2022-02-20",39,NA
"579","East of England","2022-02-21",39,NA
"580","East of England","2022-02-22",39,NA
"581","East of England","2022-02-23",39,6856
"582","East of England","2022-02-24",40,NA
"583","East of England","2022-02-25",40,NA
"584","East of England","2022-02-26",40,NA
"585","East of England","2022-02-27",40,NA
"586","East of England","2022-02-28",40,NA
"587","East of England","2022-03-01",40,NA
"588","East of England","2022-03-02",40,7850
"589","East of England","2022-03-03",41,NA
"590","East of England","2022-03-04",41,NA
"591","East of England","2022-03-05",41,NA
"592","East of England","2022-03-06",41,NA
"593","East of England","2022-03-07",41,NA
"594","East of England","2022-03-08",41,NA
"595","East of England","2022-03-09",41,13808
"596","East of England","2022-03-10",42,NA
"597","East of England","2022-03-11",42,NA
"598","East of England","2022-03-12",42,NA
"599","East of England","2022-03-13",42,NA
"600","East of England","2022-03-14",42,NA
"601","East of England","2022-03-15",42,NA
"602","East of England","2022-03-16",42,22088
"603","East of England","2022-03-17",43,NA
"604","East of England","2022-03-18",43,NA
"605","East of England","2022-03-19",43,NA
"606","East of England","2022-03-20",43,NA
"607","East of England","2022-03-21",43,NA
"608","East of England","2022-03-22",43,NA
"609","East of England","2022-03-23",43,21285
"610","East of England","2022-03-24",44,NA
"611","East of England","2022-03-25",44,NA
"612","East of England","2022-03-26",44,NA
"613","East of England","2022-03-27",44,NA
"614","East of England","2022-03-28",44,NA
"615","East of England","2022-03-29",44,NA
"616","East of England","2022-03-30",44,45374
"617","London","2021-05-27",1,NA
"618","London","2021-05-28",1,NA
"619","London","2021-05-29",1,NA
"620","London","2021-05-30",1,NA
"621","London","2021-05-31",1,NA
"622","London","2021-06-01",1,NA
"623","London","2021-06-02",1,10396
"624","London","2021-06-03",2,NA
"625","London","2021-06-04",2,NA
"626","London","2021-06-05",2,NA
"627","London","2021-06-06",2,NA
"628","London","2021-06-07",2,NA
"629","London","2021-06-08",2,NA
"630","London","2021-06-09",2,4148
"631","London","2021-06-10",3,NA
"632","London","2021-06-11",3,NA
"633","London","2021-06-12",3,NA
"634","London","2021-06-13",3,NA
"635","London","2021-06-14",3,NA
"636","London","2021-06-15",3,NA
"637","London","2021-06-16",3,4421
"638","London","2021-06-17",4,NA
"639","London","2021-06-18",4,NA
"640","London","2021-06-19",4,NA
"641","London","2021-06-20",4,NA
"642","London","2021-06-21",4,NA
"643","London","2021-06-22",4,NA
"644","London","2021-06-23",4,4837
"645","London","2021-06-24",5,NA
"646","London","2021-06-25",5,NA
"647","London","2021-06-26",5,NA
"648","London","2021-06-27",5,NA
"649","London","2021-06-28",5,NA
"650","London","2021-06-29",5,NA
"651","London","2021-06-30",5,16259
"652","London","2021-07-01",6,NA
"653","London","2021-07-02",6,NA
"654","London","2021-07-03",6,NA
"655","London","2021-07-04",6,NA
"656","London","2021-07-05",6,NA
"657","London","2021-07-06",6,NA
"658","London","2021-07-07",6,38287
"659","London","2021-07-08",7,NA
"660","London","2021-07-09",7,NA
"661","London","2021-07-10",7,NA
"662","London","2021-07-11",7,NA
"663","London","2021-07-12",7,NA
"664","London","2021-07-13",7,NA
"665","London","2021-07-14",7,31787
"666","London","2021-07-15",8,NA
"667","London","2021-07-16",8,NA
"668","London","2021-07-17",8,NA
"669","London","2021-07-18",8,NA
"670","London","2021-07-19",8,NA
"671","London","2021-07-20",8,NA
"672","London","2021-07-21",8,76834
"673","London","2021-07-22",9,NA
"674","London","2021-07-23",9,NA
"675","London","2021-07-24",9,NA
"676","London","2021-07-25",9,NA
"677","London","2021-07-26",9,NA
"678","London","2021-07-27",9,NA
